20000658 3 
20002466 3 
20004274 0 e8035e4980c0
20006082 2 
20007890 1 e8035e498140
20009698 3 
20011506 3 
20013314 4 
20015122 4 
20016930 1 e8035e498280
20018738 2 
20020546 3 
20022354 0 e8035e498340
20024162 0 e8035e498380
20025970 2 
20027778 1 e8035e498400
20029586 2 
20031394 1 e8035e498480
20033202 0 e8035e4984c0
20035010 0 e8035e498500
20036818 0 e8035e498540
20038626 1 e8035e498580
20040434 2 
20042242 3 
20044050 3 
20045858 1 e8035e498680
20047666 3 
20049474 1 e8035e498700
20051282 3 
20053090 2 
20054898 4 
20056706 1 e8035e498800
20058514 1 e8035e498840
20060322 0 e8035e498880
20062130 1 e8035e4988c0
20063938 1 e8035e498900
20065746 1 e8035e498940
20067554 2 
20069362 4 
20071170 3 
20072978 1 e8035e498a40
20074786 1 e8035e498a80
20076594 4 
20078402 1 e8035e498b00
20080210 1 e8035e498b40
20082018 4 
20083826 1 e8035e498bc0
20085634 2 
20087442 1 e8035e498c40
20089250 4 
20091058 1 e8035e498cc0
20092866 3 
20094674 1 e8035e498d40
20096482 1 e8035e498d80
20097192 0 e8035e49a640
20097234 1 e8035e49a680
20097458 1 e8035e49a6c0
20097682 1 e8035e49a700
20097906 1 e8035e49a740
20098130 1 e8035e49a780
20098354 1 e8035e49a7c0
20098578 1 e8035e49a800
20098802 1 e8035e49a840
20099026 1 e8035e49a880
20099250 1 e8035e49a8c0
20099474 2 
20099698 1 e8035e49a940
20099922 0 e8035e49a980
20100146 1 e8035e49a9c0
20100370 1 e8035e49aa00
20100594 1 e8035e49aa40
20100818 1 e8035e49aa80
20101042 1 e8035e49aac0
20101266 0 e8035e49ab00
20101490 0 e8035e49ab40
20101714 2 
20101938 0 e8035e49abc0
20102162 1 e8035e49ac00
20102386 1 e8035e49ac40
20102610 3 
20102834 2 
20103058 1 e8035e49ad00
20103282 1 e8035e49ad40
20103506 3 
20103730 3 
20103954 4 
20104178 1 e8035e49ae40
20104367 2 
20105949 1 e8035e498e00
20107757 2 
20109565 1 e8035e498e80
20111373 0 e8035e498ec0
20113181 1 e8035e498f00
20114989 1 e8035e498f40
20116797 1 e8035e498f80
20118605 3 
20120413 1 
20122221 1 e8035e49b040
20124029 2 
20125837 1 e8035e49b0c0
20127645 1 e8035e49b100
20129453 1 e8035e49b140
20131261 1 e8035e49b180
20133069 0 e8035e49b1c0
20134877 1 e8035e49b200
20136685 4 
20138493 1 e8035e49b280
20140301 1 e8035e49b2c0
20142109 1 e8035e49b300
20143917 2 
20145725 1 e8035e49b380
20147533 1 e8035e49b3c0
20149341 1 e8035e49b400
20151149 1 e8035e49b440
20152957 1 e8035e49b480
20154765 1 e8035e49b4c0
20156573 1 e8035e49b500
20158381 1 e8035e49b540
20160189 1 e8035e49b580
20161997 2 
20163805 1 e8035e49b600
20165613 2 
20167421 1 e8035e49b680
20169229 1 e8035e49b6c0
20171037 1 e8035e49b700
20172845 1 e8035e49b740
20174653 1 e8035e49b780
20176461 1 e8035e49b7c0
20178269 1 e8035e49b800
20180077 1 e8035e49b840
20181885 1 e8035e49b880
20183693 3 
20185501 1 e8035e49b900
20187309 1 e8035e49b940
20189117 1 e8035e49b980
20190925 1 e8035e49b9c0
20192733 1 e8035e49ba00
20194541 1 e8035e49ba40
20196349 1 e8035e49ba80
20198157 1 e8035e49bac0
20199965 1 e8035e49bb00
20201773 1 e8035e49bb40
20203581 3 
20205389 1 e8035e49bbc0
20207197 2 
20209005 1 e8035e49bc40
20210813 0 e8035e49bc80
20212621 1 e8035e49bcc0
20214429 1 e8035e49bd00
20216237 1 e8035e49bd40
20218045 1 e8035e49bd80
20219853 3 
20220111 1 
20220293 1 e8035e49d6c0
20220517 0 e8035e49d700
20220741 1 e8035e49d740
20220965 1 e8035e49d780
20221189 1 e8035e49d7c0
20221413 1 e8035e49d800
20221637 1 e8035e49d840
20221861 1 e8035e49d880
20222085 1 e8035e49d8c0
20222309 1 e8035e49d900
20222533 1 e8035e49d940
20222757 1 e8035e49d980
20222981 3 
20223205 1 e8035e49da00
20223429 1 e8035e49da40
20223653 1 e8035e49da80
20223877 2 
20224101 1 
20224325 1 e8035e49db40
20224549 1 e8035e49db80
20224773 3 
20224997 1 e8035e49dc00
20225221 1 e8035e49dc40
20225445 1 e8035e49dc80
20225669 3 
20225893 1 e8035e49dd00
20226117 1 e8035e49dd40
20226341 1 e8035e49dd80
20226565 1 e8035e49ddc0
20226789 1 e8035e49de00
20227013 1 e8035e49de40
20227237 1 e8035e49de80
20227512 1 e8035e49be00
20229320 0 e8035e49be40
20231128 1 e8035e49be80
20232936 1 e8035e49bec0
20234744 1 e8035e49bf00
20236552 2 
20238360 1 e8035e49bf80
20240168 1 e8035e49bfc0
20241976 1 
20243784 1 e8035e49e040
20245592 1 e8035e49e080
